,TEAM,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV,YEAR,FG_MAX,FGA_MAX,2P_MAX,2PA_MAX,3P_MAX,3PA_MAX,FT_MAX,FTA_MAX,ORB_MAX,DRB_MAX,AST_MAX,STL_MAX,BLK_MAX,TOV_MAX,PF_MAX,PTS_MAX,FT/FGA_MAX,AST/TOV_MAX,index_OPP,TEAM_OPP,FG_OPP,FGA_OPP,2P_OPP,2PA_OPP,3P_OPP,3PA_OPP,FT_OPP,FTA_OPP,ORB_OPP,DRB_OPP,AST_OPP,STL_OPP,BLK_OPP,TOV_OPP,PF_OPP,PTS_OPP,FT/FGA_OPP,AST/TOV_OPP,FG_MAX_OPP,FGA_MAX_OPP,2P_MAX_OPP,2PA_MAX_OPP,3P_MAX_OPP,3PA_MAX_OPP,FT_MAX_OPP,FTA_MAX_OPP,ORB_MAX_OPP,DRB_MAX_OPP,AST_MAX_OPP,STL_MAX_OPP,BLK_MAX_OPP,TOV_MAX_OPP,PF_MAX_OPP,PTS_MAX_OPP,FT/FGA_MAX_OPP,AST/TOV_MAX_OPP,WIN,GAME_ID
803,Louisville ,29,66,22,50,7,16,10,16,7,33,16,6,1,10,21,75,0.1515151515151515,1.6,2010,8,22,7,15,5,8,6,8,5,12,5,4,1,2,3,23,0.2727272727272727,2.0,524,New Mexico State ,22,58,17,37,5,21,8,9,3,14,9,13,4,11,18,57,0.1379310344827586,0.8181818181818182,6,11,6,11,3,8,3,4,1,6,3,4,2,3,4,15,0.2727272727272727,1.0,True,663
804,Texas ,26,65,22,52,4,13,10,15,7,25,19,4,5,9,24,66,0.1538461538461538,2.111111111111111,2010,6,14,5,13,2,4,5,6,2,10,7,2,4,3,5,18,0.3846153846153846,3.5,523,Syracuse ,28,69,22,48,6,21,10,21,15,23,14,10,4,8,18,72,0.144927536231884,1.75,8,26,8,19,3,9,5,8,6,5,5,2,2,2,5,24,0.6,5.0,False,663
805,Stanford ,25,59,18,37,7,22,20,30,12,26,17,4,3,14,17,77,0.3389830508474576,1.2142857142857142,2010,9,14,9,12,4,8,5,8,6,6,5,1,1,3,3,23,0.75,1.0,522,Nebraska ,25,58,18,37,7,21,12,18,10,25,15,3,7,18,20,69,0.2068965517241379,0.8333333333333334,7,15,6,9,5,13,3,5,3,8,4,1,2,6,5,18,0.4285714285714285,2.0,True,663
806,Texas A&M ,18,58,16,44,2,14,5,8,13,14,6,5,1,14,12,43,0.0862068965517241,0.4285714285714285,2010,5,15,5,9,2,7,2,2,3,4,3,2,1,5,4,10,0.1818181818181818,2.0,521,Notre Dame ,33,53,31,45,2,8,9,17,6,30,20,10,5,14,12,77,0.1698113207547169,1.4285714285714286,9,14,9,12,2,4,3,4,1,4,7,2,3,3,1,18,0.5,3.5,False,663
807,UCLA ,30,53,20,29,10,24,5,8,7,21,23,8,6,8,10,75,0.0943396226415094,2.875,2010,7,10,5,9,7,10,3,4,2,5,11,3,2,2,2,21,0.4285714285714285,5.5,520,Montana ,19,62,17,41,2,21,3,5,10,18,11,7,3,17,17,43,0.0483870967741935,0.6470588235294118,4,12,4,10,0,6,3,4,3,5,6,1,1,6,5,9,0.4285714285714285,1.0,True,663
808,Texas Southern ,8,58,4,38,4,20,10,15,6,11,5,3,2,21,17,30,0.1724137931034483,0.238095238095238,2010,4,19,2,11,2,10,9,11,2,2,3,1,0,7,4,19,0.4736842105263157,0.5,519,Duke ,24,46,20,35,4,11,12,27,8,27,16,5,7,16,16,64,0.2608695652173913,1.0,9,13,8,12,3,6,4,8,3,7,4,2,2,5,4,22,0.3636363636363636,1.3333333333333333,False,663
809,Baylor ,48,76,39,58,9,18,14,17,16,41,35,8,11,14,14,119,0.1842105263157894,2.5,2010,9,10,9,10,2,2,3,3,3,5,6,3,3,2,2,21,2.0,4.0,518,Mississippi State ,18,59,8,28,10,31,10,13,11,17,11,5,9,10,23,56,0.1694915254237288,1.1,5,17,2,9,3,11,2,3,4,6,2,3,4,4,5,15,0.1428571428571428,2.0,True,663
810,Toledo ,20,62,18,52,2,10,7,13,8,15,10,6,2,10,20,49,0.1129032258064516,1.0,2010,5,14,5,14,1,3,4,7,2,6,4,4,1,5,4,11,0.3076923076923077,2.0,517,Washington ,28,69,18,40,10,29,14,19,9,23,17,2,1,6,23,80,0.2028985507246377,2.833333333333333,6,16,5,11,3,9,4,6,5,5,8,1,0,2,5,17,0.2857142857142857,4.0,False,663
811,Creighton ,26,55,16,32,10,23,14,19,8,30,15,7,6,11,19,76,0.2545454545454545,1.3636363636363635,2010,7,14,4,8,3,6,4,4,3,6,4,2,3,3,4,19,0.6666666666666666,4.0,516,Miami ,27,61,20,49,7,12,25,40,10,32,9,4,3,4,19,86,0.4098360655737705,2.25,10,18,8,16,2,4,8,11,3,6,2,2,2,1,3,30,0.6363636363636364,1.0,False,663
812,Troy ,25,80,20,49,5,31,14,20,15,22,16,5,2,28,29,69,0.175,0.5714285714285714,2010,6,12,3,5,3,7,1,2,2,4,3,2,0,5,5,15,0.2,2.0,515,Iowa ,30,57,25,48,5,9,23,33,10,27,17,6,3,13,14,88,0.4035087719298245,1.3076923076923077,8,16,8,16,2,3,6,10,6,5,7,2,3,7,4,22,0.8571428571428571,1.5,False,663
813,Mississippi State ,36,82,24,60,12,22,26,39,22,31,22,11,7,21,21,110,0.3170731707317073,1.0476190476190477,2010,6,10,3,9,4,7,5,8,5,8,5,3,4,3,3,21,0.6666666666666666,1.6666666666666667,514,Miami ,29,73,24,52,5,21,7,11,9,18,10,8,3,13,24,70,0.0958904109589041,0.7692307692307693,8,22,8,14,3,11,2,3,2,5,3,3,2,3,5,20,0.5,3.0,True,663
814,UCLA ,26,68,17,41,9,27,10,14,11,15,14,8,2,6,24,71,0.1470588235294117,2.333333333333333,2010,9,19,9,17,5,11,5,8,5,11,11,2,1,2,5,20,0.4166666666666667,5.5,513,Connecticut ,29,54,21,32,8,22,15,18,8,22,17,5,7,9,13,81,0.2777777777777778,1.8888888888888888,10,16,8,12,2,6,9,10,3,6,7,2,4,2,3,25,0.6923076923076923,7.0,False,663
815,Connecticut ,30,54,21,34,9,20,17,26,9,25,20,2,3,13,13,86,0.3148148148148148,1.5384615384615383,2010,10,16,9,14,3,8,6,9,6,8,6,1,3,6,5,27,0.8333333333333334,3.0,512,Maryland ,24,59,19,40,5,19,5,6,9,16,13,4,1,11,17,58,0.0847457627118644,1.181818181818182,6,10,6,10,2,5,2,2,2,2,3,2,0,6,4,14,0.2,3.0,True,663
816,UNC Asheville ,15,58,10,43,5,15,5,8,11,12,6,2,1,14,14,40,0.0862068965517241,0.4285714285714285,2010,4,19,4,11,2,8,2,4,5,5,4,1,1,4,5,12,0.3333333333333333,1.0,511,South Florida ,24,65,21,48,3,17,22,29,16,25,13,9,7,13,13,73,0.3384615384615385,1.0,7,25,6,21,2,7,7,8,4,9,6,2,2,3,3,17,1.1666666666666667,2.0,False,663
817,South Carolina ,37,65,33,47,4,18,12,16,16,24,20,10,3,5,15,90,0.1846153846153846,4.0,2010,11,13,11,12,2,6,4,5,7,5,7,4,1,3,3,22,0.3636363636363636,3.0,510,Louisiana State ,26,67,23,54,3,13,9,12,11,24,10,10,5,16,21,64,0.1343283582089552,0.625,8,16,8,15,2,8,3,4,4,6,4,6,2,3,4,17,0.2,2.0,True,663
818,Washington ,24,62,16,40,8,22,8,11,8,18,8,3,2,10,14,64,0.1290322580645161,0.8,2010,10,25,7,17,3,8,6,7,4,7,5,2,1,4,4,29,0.24,1.25,509,Texas A&M ,22,58,20,50,2,8,14,17,14,22,13,4,6,12,20,60,0.2413793103448276,1.0833333333333333,9,20,9,19,1,5,5,6,4,10,5,1,2,6,5,23,0.625,2.0,True,663
819,Mississippi State ,31,75,28,59,3,16,10,12,17,25,17,4,9,7,17,75,0.1333333333333333,2.4285714285714284,2010,12,18,12,18,2,5,3,4,8,7,6,1,6,2,2,26,0.5,6.0,508,Little Rock ,25,55,19,42,6,13,13,20,9,23,20,6,2,8,13,69,0.2363636363636363,2.5,10,17,5,10,5,7,3,4,3,6,4,3,1,3,3,25,0.5,3.0,True,663
820,West Virginia ,20,63,17,53,3,10,13,16,15,19,10,6,6,17,16,56,0.2063492063492063,0.5882352941176471,2010,6,18,6,17,2,3,4,5,5,5,5,2,3,5,3,16,0.5714285714285714,1.6666666666666667,507,Arizona State ,21,56,19,46,2,10,13,15,16,22,16,4,2,17,9,57,0.2321428571428571,0.9411764705882352,6,15,6,15,1,5,5,6,7,8,5,2,1,4,2,17,0.5,1.6666666666666667,False,663
821,Maryland ,34,65,26,51,8,14,7,12,13,22,16,13,5,14,17,83,0.1076923076923077,1.1428571428571428,2010,10,16,10,13,3,6,3,4,5,7,8,3,3,3,4,22,0.1875,4.0,506,Little Rock ,25,60,24,51,1,9,3,4,10,17,12,11,2,14,18,54,0.05,0.8571428571428571,6,13,6,12,1,7,2,2,3,4,5,4,1,4,4,12,0.1666666666666666,2.5,True,663
822,Western Illinois ,23,61,12,37,11,24,9,15,4,15,12,10,1,16,17,66,0.1475409836065573,0.75,2010,8,16,5,11,3,6,4,6,1,5,7,3,0,4,3,20,0.5714285714285714,2.333333333333333,505,North Carolina ,28,57,24,48,4,9,11,20,9,24,18,10,7,15,20,71,0.1929824561403508,1.2,7,13,7,13,1,3,4,8,2,7,5,2,5,4,4,17,2.0,1.6666666666666667,False,663
823,Florida State ,35,69,33,60,2,9,15,22,18,34,14,11,7,19,16,87,0.217391304347826,0.7368421052631579,2010,10,20,10,20,1,5,3,4,4,10,6,3,2,5,3,23,0.6,3.0,504,Liberty ,24,69,21,51,3,18,14,23,19,27,8,7,0,15,20,65,0.2028985507246377,0.5333333333333333,8,15,8,15,1,5,3,5,5,8,7,3,0,3,4,19,0.5,7.0,True,663
824,Western Kentucky ,22,76,13,39,9,37,10,15,16,25,9,7,7,10,19,63,0.131578947368421,0.9,2010,7,22,6,15,2,9,4,8,4,10,4,3,4,3,4,19,0.2,4.0,503,Ohio State ,30,62,26,46,4,16,26,34,2,30,16,9,7,13,17,90,0.4193548387096774,1.2307692307692308,9,19,9,15,2,7,12,16,1,12,8,3,7,5,4,28,1.0,2.0,False,663
825,Ohio State ,27,63,19,43,8,20,8,15,9,29,21,4,9,19,21,70,0.1269841269841269,1.105263157894737,2010,5,15,5,9,3,7,2,4,3,15,6,1,4,3,5,15,0.3333333333333333,2.0,502,James Madison ,30,79,19,50,11,29,9,10,12,30,19,6,4,15,23,80,0.1139240506329113,1.2666666666666666,10,30,6,14,4,16,4,4,3,6,11,2,2,7,4,28,0.6666666666666666,1.5714285714285714,False,663
