,TEAM,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV,YEAR,FG%,2P%,3P%,FT%,RB_O2D,FT_MAX,FTA_MAX,ORB_MAX,DRB_MAX,AST_MAX,STL_MAX,BLK_MAX,TOV_MAX,PF_MAX,PTS_MAX,FT/FGA_MAX,AST/TOV_MAX,FG%_MAX,2P%_MAX,3P%_MAX,FT%_MAX,RB_O2D_MAX,TEAM_OPP,FT_OPP,FTA_OPP,ORB_OPP,DRB_OPP,AST_OPP,STL_OPP,BLK_OPP,TOV_OPP,PF_OPP,PTS_OPP,FT/FGA_OPP,AST/TOV_OPP,FG%_OPP,2P%_OPP,3P%_OPP,FT%_OPP,RB_O2D_OPP,FT_MAX_OPP,FTA_MAX_OPP,ORB_MAX_OPP,DRB_MAX_OPP,AST_MAX_OPP,STL_MAX_OPP,BLK_MAX_OPP,TOV_MAX_OPP,PF_MAX_OPP,PTS_MAX_OPP,FT/FGA_MAX_OPP,AST/TOV_MAX_OPP,FG%_MAX_OPP,2P%_MAX_OPP,3P%_MAX_OPP,FT%_MAX_OPP,RB_O2D_MAX_OPP,WIN,GAME_ID
30,Gonzaga ,14,18,10,26,15,11,8,17,12,72,0.2372881355932203,0.8823529411764706,2010,0.4406779661016949,0.425531914893617,0.5,0.7777777777777778,0.38461538461538464,6,8,3,7,6,3,4,11,5,23,0.4285714285714285,2.5,0.5714285714285714,0.5384615384615384,1.0,1.0,2.0,Texas A&M ,8,15,13,25,16,15,8,18,15,71,0.1212121212121212,0.8888888888888888,0.45454545454545453,0.48214285714285715,0.3,0.5333333333333333,0.52,1,2,4,10,5,4,2,7,3,17,0.0909090909090909,5.0,0.6666666666666666,0.7,0.5,0.5,1.5,True,15
31,Texas A&M ,8,15,13,25,16,15,8,18,15,71,0.1212121212121212,0.8888888888888888,2010,0.45454545454545453,0.48214285714285715,0.3,0.5333333333333333,0.52,1,2,4,10,5,4,2,7,3,17,0.0909090909090909,5.0,0.6666666666666666,0.7,0.5,0.5,1.5,Gonzaga ,14,18,10,26,15,11,8,17,12,72,0.2372881355932203,0.8823529411764706,0.4406779661016949,0.425531914893617,0.5,0.7777777777777778,0.38461538461538464,6,8,3,7,6,3,4,11,5,23,0.4285714285714285,2.5,0.5714285714285714,0.5384615384615384,1.0,1.0,2.0,False,15
32,Gonzaga ,11,15,8,16,13,12,5,16,14,56,0.1864406779661017,0.8125,2010,0.3559322033898305,0.3829787234042553,0.25,0.7333333333333333,0.5,5,6,2,5,11,5,2,6,3,12,1.0,1.8333333333333333,0.4,0.5,0.5,1.0,1.0,Xavier ,11,16,13,25,17,8,5,21,13,74,0.1896551724137931,0.8095238095238095,0.4827586206896552,0.4883720930232558,0.4666666666666667,0.6875,0.52,3,4,8,9,6,4,2,6,3,22,0.375,2.5,0.7692307692307693,0.7692307692307693,1.0,0.75,1.3333333333333333,False,16
33,Xavier ,11,16,13,25,17,8,5,21,13,74,0.1896551724137931,0.8095238095238095,2010,0.4827586206896552,0.4883720930232558,0.4666666666666667,0.6875,0.52,3,4,8,9,6,4,2,6,3,22,0.375,2.5,0.7692307692307693,0.7692307692307693,1.0,0.75,1.3333333333333333,Gonzaga ,11,15,8,16,13,12,5,16,14,56,0.1864406779661017,0.8125,0.3559322033898305,0.3829787234042553,0.25,0.7333333333333333,0.5,5,6,2,5,11,5,2,6,3,12,1.0,1.8333333333333333,0.4,0.5,0.5,1.0,1.0,True,16
34,Green Bay ,10,10,4,26,15,3,2,18,20,56,0.2083333333333333,0.8333333333333334,2010,0.4166666666666667,0.45161290322580644,0.35294117647058826,1.0,0.15384615384615385,5,5,1,5,3,1,1,6,5,29,0.8,0.5,0.7692307692307693,1.0,1.0,1.0,0.2,Iowa State ,14,21,8,23,13,5,3,9,12,60,0.2745098039215686,1.4444444444444444,0.37254901960784315,0.4074074074074074,0.3333333333333333,0.6666666666666666,0.34782608695652173,6,8,3,5,7,2,2,2,4,15,0.5,3.5,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6,False,17
35,Iowa State ,14,21,8,23,13,5,3,9,12,60,0.2745098039215686,1.4444444444444444,2010,0.37254901960784315,0.4074074074074074,0.3333333333333333,0.6666666666666666,0.34782608695652173,6,8,3,5,7,2,2,2,4,15,0.5,3.5,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6,Green Bay ,10,10,4,26,15,3,2,18,20,56,0.2083333333333333,0.8333333333333334,0.4166666666666667,0.45161290322580644,0.35294117647058826,1.0,0.15384615384615385,5,5,1,5,3,1,1,6,5,29,0.8,0.5,0.7692307692307693,1.0,1.0,1.0,0.2,True,17
36,Green Bay ,34,40,8,27,10,9,1,30,23,69,0.7727272727272727,0.3333333333333333,2010,0.36363636363636365,0.41935483870967744,0.23076923076923078,0.85,0.2962962962962963,13,15,4,7,3,4,1,6,5,23,1.625,1.0,0.625,0.7142857142857143,0.0,1.0,1.3333333333333333,Virginia ,15,23,14,20,10,22,3,19,28,67,0.2238805970149253,0.5263157894736842,0.373134328358209,0.40350877192982454,0.2,0.6521739130434783,0.7,5,6,3,6,2,6,2,4,4,34,0.1851851851851851,2.0,0.5185185185185185,0.5416666666666666,0.3333333333333333,0.8333333333333334,1.0,True,18
37,Virginia ,15,23,14,20,10,22,3,19,28,67,0.2238805970149253,0.5263157894736842,2010,0.373134328358209,0.40350877192982454,0.2,0.6521739130434783,0.7,5,6,3,6,2,6,2,4,4,34,0.1851851851851851,2.0,0.5185185185185185,0.5416666666666666,0.3333333333333333,0.8333333333333334,1.0,Green Bay ,34,40,8,27,10,9,1,30,23,69,0.7727272727272727,0.3333333333333333,0.36363636363636365,0.41935483870967744,0.23076923076923078,0.85,0.2962962962962963,13,15,4,7,3,4,1,6,5,23,1.625,1.0,0.625,0.7142857142857143,0.0,1.0,1.3333333333333333,False,18
38,Hampton ,3,8,7,19,4,6,4,16,20,37,0.0535714285714285,0.25,2010,0.26785714285714285,0.2682926829268293,0.26666666666666666,0.375,0.3684210526315789,1,2,1,5,3,2,3,6,5,8,0.1,0.5,0.3,0.5,0.25,0.5,1.0,Duke ,16,22,12,33,15,10,7,11,11,72,0.2807017543859649,1.3636363636363635,0.45614035087719296,0.5,0.3076923076923077,0.7272727272727273,0.36363636363636365,3,4,2,5,4,3,2,3,2,13,0.3333333333333333,3.0,1.0,1.0,1.0,1.0,0.6666666666666666,False,19
39,Duke ,16,22,12,33,15,10,7,11,11,72,0.2807017543859649,1.3636363636363635,2010,0.45614035087719296,0.5,0.3076923076923077,0.7272727272727273,0.36363636363636365,3,4,2,5,4,3,2,3,2,13,0.3333333333333333,3.0,1.0,1.0,1.0,1.0,0.6666666666666666,Hampton ,3,8,7,19,4,6,4,16,20,37,0.0535714285714285,0.25,0.26785714285714285,0.2682926829268293,0.26666666666666666,0.375,0.3684210526315789,1,2,1,5,3,2,3,6,5,8,0.1,0.5,0.3,0.5,0.25,0.5,1.0,True,19
